Class,Precision,Recall,F1,TP,TN,FP,FN
0,1.0,0.9545454545454546,0.9767441860465116,21,52,0,1
1,0.9285714285714286,1.0,0.9629629629629629,13,60,1,0
2,0.9375,0.8823529411764706,0.9090909090909091,15,56,1,2
3,0.9285714285714286,1.0,0.9629629629629629,13,60,1,0
4,0.8888888888888888,0.8888888888888888,0.8888888888888888,8,64,1,1
